Booking_ID,Booking_Date,Destination,State,Airline,Traveler_Type,Booking_Channel,Booking_Value,Customer_Rating
MMT100000,20-10-2023,Kerala,Kerala,IndiGo,Business,Mobile App,4233,3.7
MMT100001,24-12-2022,Udaipur,Delhi,Akasa Air,Business,Website,38747,4.1
MMT100002,15-02-2023,Manali,UAE,IndiGo,Couple,Website,27324,4
MMT100003,26-04-2024,Goa,Karnataka,GoAir,Family,Mobile App,19734,4.7
MMT100004,27-04-2023,Goa,Karnataka,IndiGo,Business,Website,46772,4.6
MMT100005,07-01-2022,Bangalore,Kerala,Air India,Solo,Mobile App,24827,4.7
MMT100006,30-08-2022,Mumbai,Karnataka,GoAir,Couple,Mobile App,9300,4.6
MMT100007,15-11-2024,Jaipur,Delhi,GoAir,Business,Website,21746,4.4
MMT100008,07-02-2022,Udaipur,Karnataka,Akasa Air,Solo,Website,16013,4
MMT100009,23-11-2022,Dubai,UAE,Akasa Air,Family,Mobile App,30854,3.3
MMT100010,27-04-2024,Kerala,Maharashtra,Vistara,Business,Travel Agent,15191,4.2
MMT100011,12-05-2024,Bangalore,Karnataka,GoAir,Family,Mobile App,39167,3.5
MMT100012,27-09-2024,Leh,Karnataka,Akasa Air,Solo,Travel Agent,10202,3.9
MMT100013,02-05-2022,Jaipur,UAE,SpiceJet,Family,Mobile App,22828,4.1
MMT100014,29-08-2023,Kerala,Delhi,Air India,Couple,Mobile App,22254,3.4
MMT100015,09-12-2022,Dubai,Karnataka,GoAir,Business,Mobile App,25787,3.5
MMT100016,20-05-2024,Leh,Karnataka,SpiceJet,Family,Mobile App,36686,3.5
MMT100017,17-05-2023,Jaipur,Maharashtra,IndiGo,Business,Travel Agent,19767,3.4
MMT100018,07-12-2023,Mumbai,Rajasthan,Akasa Air,Business,Travel Agent,13794,3.8
MMT100019,18-09-2023,Dubai,Maharashtra,Air India,Couple,Mobile App,14880,4
MMT100020,03-09-2022,Leh,Rajasthan,Air India,Couple,Website,17078,4.8
MMT100021,06-06-2022,Dubai,Karnataka,Air India,Business,Mobile App,46750,4.5
MMT100022,23-10-2022,Bangalore,Maharashtra,IndiGo,Solo,Travel Agent,38291,4
MMT100023,25-04-2023,Mumbai,Rajasthan,Air India,Solo,Mobile App,14855,4.9
MMT100024,02-05-2023,Goa,Rajasthan,GoAir,Family,Travel Agent,25846,3.6
MMT100025,20-02-2024,Dubai,Rajasthan,IndiGo,Business,Website,20693,3.5
MMT100026,22-03-2022,Dubai,UAE,SpiceJet,Family,Travel Agent,29833,3.9
MMT100027,17-06-2024,Kerala,Kerala,GoAir,Business,Mobile App,31628,3.3
MMT100028,25-04-2023,Delhi,Goa,SpiceJet,Couple,Travel Agent,36324,4
MMT100029,07-05-2024,Bangalore,Himachal Pradesh,Air India,Solo,Travel Agent,13473,3.2
MMT100030,28-10-2024,Kerala,Ladakh,IndiGo,Family,Travel Agent,26970,3.4
MMT100031,28-09-2024,Udaipur,Rajasthan,SpiceJet,Solo,Travel Agent,27117,3.1
MMT100032,29-08-2023,Jaipur,Delhi,GoAir,Couple,Travel Agent,22585,3.4
MMT100033,27-02-2024,Jaipur,Rajasthan,GoAir,Family,Website,41062,4.8
MMT100034,15-09-2023,Kerala,Ladakh,GoAir,Family,Website,3268,3.5
MMT100035,31-03-2022,Goa,Karnataka,Akasa Air,Solo,Website,24073,4.6
MMT100036,30-04-2022,Delhi,Rajasthan,Vistara,Couple,Website,39760,4.7
MMT100037,22-10-2022,Leh,Rajasthan,Vistara,Business,Travel Agent,18317,3.8
MMT100038,15-12-2024,Jaipur,Ladakh,IndiGo,Solo,Mobile App,22571,4.4
MMT100039,05-09-2022,Udaipur,Maharashtra,Air India,Solo,Travel Agent,36301,3.2
MMT100040,20-10-2022,Bangalore,Kerala,Air India,Solo,Website,6528,3.5
MMT100041,12-09-2023,Leh,UAE,IndiGo,Couple,Website,20396,3.6
MMT100042,07-08-2022,Goa,Rajasthan,IndiGo,Couple,Travel Agent,28611,4.2
MMT100043,27-07-2022,Jaipur,Goa,IndiGo,Couple,Mobile App,19406,4.8
MMT100044,20-05-2022,Manali,Goa,IndiGo,Business,Website,5195,3.7
MMT100045,26-01-2024,Kerala,Karnataka,GoAir,Business,Travel Agent,42131,3
MMT100046,29-12-2022,Manali,UAE,GoAir,Business,Website,8293,3.8
MMT100047,11-04-2023,Mumbai,Himachal Pradesh,Air India,Solo,Travel Agent,27096,4.1
MMT100048,06-10-2023,Jaipur,Himachal Pradesh,Air India,Business,Website,41358,4.6
MMT100049,14-04-2022,Bangalore,UAE,IndiGo,Family,Travel Agent,6228,3.6
MMT100050,08-03-2024,Manali,Goa,Air India,Couple,Website,28949,4
MMT100051,18-10-2022,Udaipur,Kerala,IndiGo,Couple,Travel Agent,46360,3.8
MMT100052,14-10-2024,Kerala,Kerala,SpiceJet,Business,Mobile App,41534,3.1
MMT100053,23-04-2023,Manali,Ladakh,Akasa Air,Couple,Mobile App,11446,3.9
MMT100054,01-01-2023,Manali,Ladakh,Air India,Business,Mobile App,42870,4.2
MMT100055,08-12-2022,Dubai,Goa,Air India,Couple,Website,47878,3.6
MMT100056,06-01-2024,Jaipur,Rajasthan,Vistara,Family,Website,10087,3.2
MMT100057,27-10-2023,Mumbai,Delhi,Air India,Couple,Mobile App,39130,4.7
MMT100058,01-03-2024,Udaipur,Rajasthan,Akasa Air,Solo,Mobile App,46498,4.2
MMT100059,04-12-2023,Manali,Goa,Akasa Air,Family,Website,24975,3
MMT100060,24-02-2024,Mumbai,Delhi,Vistara,Business,Mobile App,17277,3.9
MMT100061,27-04-2022,Dubai,UAE,SpiceJet,Family,Website,35091,3.8
MMT100062,30-10-2024,Goa,Goa,Vistara,Family,Website,22627,4.9
MMT100063,30-06-2024,Udaipur,Delhi,GoAir,Family,Website,8016,4.3
MMT100064,06-02-2022,Kerala,Maharashtra,GoAir,Family,Website,8274,3.8
MMT100065,26-12-2022,Bangalore,Himachal Pradesh,Air India,Business,Mobile App,27364,3.4
MMT100066,08-03-2023,Kerala,UAE,Akasa Air,Solo,Website,12475,4.9
MMT100067,07-12-2023,Kerala,Ladakh,GoAir,Business,Travel Agent,12803,3.5
MMT100068,15-05-2023,Jaipur,Delhi,SpiceJet,Family,Travel Agent,31334,4.6
MMT100069,07-01-2022,Bangalore,Kerala,IndiGo,Couple,Travel Agent,35697,4.4
MMT100070,08-08-2023,Dubai,Kerala,Akasa Air,Business,Mobile App,37273,3.8
MMT100071,11-02-2023,Bangalore,UAE,IndiGo,Family,Website,11370,4.9
MMT100072,03-10-2024,Mumbai,Ladakh,GoAir,Business,Mobile App,15498,4.6
MMT100073,26-11-2023,Dubai,Kerala,SpiceJet,Family,Mobile App,34793,4.2
MMT100074,26-10-2024,Jaipur,Karnataka,GoAir,Solo,Travel Agent,28354,4.6
MMT100075,09-12-2024,Jaipur,Kerala,SpiceJet,Solo,Website,46063,3.1
MMT100076,03-12-2022,Jaipur,Kerala,Air India,Business,Travel Agent,38723,4.8
MMT100077,26-12-2024,Delhi,Kerala,SpiceJet,Business,Travel Agent,32874,4.4
MMT100078,23-06-2023,Mumbai,Himachal Pradesh,IndiGo,Solo,Website,21773,3.7
MMT100079,24-12-2023,Bangalore,Rajasthan,IndiGo,Family,Website,29931,4.3
MMT100080,03-04-2022,Udaipur,Kerala,IndiGo,Solo,Travel Agent,13882,3.5
MMT100081,24-10-2022,Manali,Rajasthan,SpiceJet,Couple,Website,46348,4.1
MMT100082,02-05-2023,Delhi,Himachal Pradesh,SpiceJet,Family,Mobile App,20170,3.8
MMT100083,14-11-2022,Dubai,Maharashtra,SpiceJet,Business,Website,44193,4.8
MMT100084,17-11-2023,Jaipur,Delhi,GoAir,Solo,Travel Agent,34998,3.2
MMT100085,24-08-2023,Goa,Maharashtra,Air India,Business,Website,27569,3.8
MMT100086,28-09-2023,Delhi,Himachal Pradesh,Vistara,Business,Website,33505,3.2
MMT100087,27-01-2022,Dubai,Kerala,SpiceJet,Couple,Travel Agent,37423,3.4
MMT100088,29-08-2024,Mumbai,Himachal Pradesh,SpiceJet,Couple,Mobile App,3596,3.7
MMT100089,11-05-2024,Dubai,Kerala,SpiceJet,Solo,Website,23219,5
MMT100090,27-09-2023,Udaipur,Kerala,SpiceJet,Family,Website,27665,4.8
MMT100091,09-08-2024,Leh,Goa,Akasa Air,Couple,Mobile App,45024,4.9
MMT100092,05-08-2024,Bangalore,Maharashtra,IndiGo,Business,Travel Agent,16941,3.6
MMT100093,26-10-2022,Jaipur,Ladakh,IndiGo,Family,Travel Agent,33748,3.4
MMT100094,22-03-2022,Leh,Rajasthan,GoAir,Family,Travel Agent,28396,3.6
MMT100095,21-04-2024,Jaipur,Delhi,IndiGo,Business,Website,44930,4.6
